DATE,Order,Bill To,Ship To,Name of Item,Ordered,Rate
18-May-26,WB-PI/2627/381,BALAJEE EV MOTORS,SP_MOTORS_PVT,DUSTER 60V,4 NOS,116999.99
,,,,ASHER 60V,6 NOS,201900.01
,,,,RUBIE 60V,5 NOS,168250.01
,,,,DRAGGER 60V,5 NOS,160750.01
,,,,,,
18-May-26,WB-PI/2627/380,BALAJEE EV MOTORS,SP_MOTORS_PVT,DUSTER 60V,4 NOS,116999.99
,,,,ASHER 60V,6 NOS,201900.01
,,,,RUBIE 60V,5 NOS,168250.01
,,,,DRAGGER 60V,5 NOS,160750.01
,,,,,,
18-May-26,WB-PI/2627/379,M/S. ASHU ELECTRIC VEHICLE,M/S. ASHU ELECTRIC VEHICLE,DUSTER 60V,40 NOS,1160000.10
,,,,,,
18-May-26,WB-PI/2627/378,M/S. ASHU ELECTRIC VEHICLE,M/S. ASHU ELECTRIC VEHICLE,RUBIE 48V,40 NOS,1233999.90
,,,,,,
18-May-26,WB-PI/2627/377,M/S.SHREE JAGANNATH E AUTO,ROUT EV STORE,ARSHANA 72V,10 NOS,538499.95
,,,,NEU 60V,10 NOS,351499.99
,,,,,,
18-May-26,WB-PI/2627/376,SANVI AUTO MOBILE,SANVI AUTO MOBILE,RUBIE 60V,20 NOS,666999.90
,,,,NEU 60V,10 NOS,348500.04
,,,,ARSHANA 72V,10 NOS,531500.03
,,,,,,
18-May-26,HR-PI/2627/816,BHARAT EV MOTORS,BHARAT EV MOTORS,RUBIE 48V,4 NOS,126000.00
,,,,RUBIE 60V,5 NOS,169999.99
,,,,RUBIE 72V,5 NOS,182499.98
,,,,AQABA 60V,2 NOS,90999.99
,,,,DRAGGER 60V,4 NOS,130000.00
,,,,,,
18-May-26,WB-PI/2627/375,KARAN AUTO PARTS,KARAN AUTO PARTS,NEU 60V,15 NOS,532499.94
,,,,DUSTER 60V,15 NOS,442500.03
,,,,ASHER 60V,10 NOS,339999.97
,,,,CHARGER 72V 3AH,5 NOS,4620.00
,,,,,,
