id,OEMProfileID,productType,wheels,images,productName,HSN,cgst,sgst,isRegistrationVehicle,MFTYear,isActive,isDeleted,updatedAt,createdAt,inOffer,colours,customerprice,dealerprice,motorId,controllerId
6,1,vehicle,2,{https://dn9ubxf6abll.cloudfront.net/uploads/products/5d61aae9-5ead-43fc-b680-d526a83673a7.png},UTILITY,87116020,"2.50","2.50","","",1,"",2026-03-12 11:33:51.922+00,2026-03-12 11:33:50.662+00,"","[{""colourCode"": ""#000"", ""colourName"": ""BLACK""}, {""colourCode"": ""#0e387c"", ""colourName"": ""BLUE""}, {""colourCode"": ""#b61111"", ""colourName"": ""RED""}, {""colourCode"": ""#2a8f05"", ""colourName"": ""GREEN""}, {""colourCode"": ""#f0eaea"", ""colourName"": ""WHITE""}]","0.00","0.00",280,281
10,1,vehicle,2,{https://dn9ubxf6abll.cloudfront.net/uploads/products/1cc3ef43-9ca0-4f8b-b142-c00540ed694f.png},UTILITY PRO,87116020,"2.50","2.50","","",1,"",2026-03-13 07:45:39.275+00,2026-03-13 07:45:38.054+00,"","[{""colourCode"": ""#000"", ""colourName"": ""BLACK""}, {""colourCode"": ""#eb1e1e"", ""colourName"": ""RED""}, {""colourCode"": ""#092a6d"", ""colourName"": ""BLUE""}, {""colourCode"": ""#076e13"", ""colourName"": ""GREEN""}, {""colourCode"": ""#f0eaea"", ""colourName"": ""WHITE""}]","0.00","0.00",280,281
14,1,vehicle,2,{https://dn9ubxf6abll.cloudfront.net/uploads/products/fb2deb35-27cd-4773-b93f-ac51a8244061.png},SPARROW X,87146020,"2.50","2.50","","",1,"",2026-03-13 09:42:16.273+00,2026-03-13 09:41:18.608+00,"","[{""colourCode"": ""#000"", ""colourName"": ""BLACK""}, {""colourCode"": ""#c50d0d"", ""colourName"": ""RED""}, {""colourCode"": ""#238d1c"", ""colourName"": ""GREEN""}, {""colourCode"": ""#0a187f"", ""colourName"": ""BLUE""}, {""colourCode"": ""#fbf4f4"", ""colourName"": ""WHITE""}]","0.00","0.00",280,281
8,1,vehicle,2,{https://dn9ubxf6abll.cloudfront.net/uploads/products/9fc47855-0677-489e-8418-57b3d248ae3a.png},RAAVTA,87116020,"2.50","2.50","","",1,"",2026-03-13 12:14:14.698+00,2026-03-13 07:12:49.989+00,"","[{""colourCode"": ""#000"", ""colourName"": ""BLACK""}, {""colourCode"": ""#c60c0c"", ""colourName"": ""RED""}, {""colourCode"": ""#062993"", ""colourName"": ""BLUE""}, {""colourCode"": ""#259207"", ""colourName"": ""GREEN""}, {""colourCode"": ""#f5efef"", ""colourName"": ""WHITE""}]","0.00","0.00",280,281
15,1,vehicle,2,{https://dn9ubxf6abll.cloudfront.net/uploads/products/891ea2e7-16af-4565-92f7-4fbed27324d7.png},SOPHIE,87116020,"2.50","2.50","","",1,"",2026-03-13 09:59:31.24+00,2026-03-13 09:59:29.9+00,"","[{""colourCode"": ""#000"", ""colourName"": ""BLACK""}, {""colourCode"": ""#ce0d0d"", ""colourName"": ""RED""}, {""colourCode"": ""#08a119"", ""colourName"": ""GREEN""}, {""colourCode"": ""#0a2b8f"", ""colourName"": ""BLUE""}, {""colourCode"": ""#f4f0f0"", ""colourName"": ""WHITE""}]","0.00","0.00",280,281
12,1,vehicle,2,{https://dn9ubxf6abll.cloudfront.net/uploads/products/08434f59-e2e1-44fd-9324-ce14ba82fbd0.png},SPARROW PRO,87114020,"2.50","2.50","","",1,"",2026-04-05 07:48:33.216+00,2026-03-13 09:03:56.57+00,"","[{""colourCode"": ""#000"", ""colourName"": ""BLACK""}, {""colourCode"": ""#122191"", ""colourName"": ""BLUE""}, {""colourCode"": ""#c01616"", ""colourName"": ""RED""}, {""colourCode"": ""#037c05"", ""colourName"": ""GREEN""}, {""colourCode"": ""#f4ecec"", ""colourName"": ""WHITE""}]","0.00","0.00",280,281
11,1,vehicle,2,{https://dn9ubxf6abll.cloudfront.net/uploads/products/e4100c97-5a43-4f2f-947a-3cc96a003ee3.png},SPARROW,87146020,"2.50","2.50","","",1,"",2026-04-05 07:49:01.181+00,2026-03-13 08:01:42.972+00,"","[{""colourCode"": ""#000"", ""colourName"": ""BLACK""}, {""colourCode"": ""#c01111"", ""colourName"": ""RED""}, {""colourCode"": ""#05409e"", ""colourName"": ""BLUE""}, {""colourCode"": ""#075a11"", ""colourName"": ""GREEN""}, {""colourCode"": ""#fcf8f8"", ""colourName"": ""WHITE""}]","0.00","0.00",280,281
7,1,vehicle,2,{https://dn9ubxf6abll.cloudfront.net/uploads/products/d96eade5-f37e-4976-8a0b-fefcc7bae250.png},LOTUS,87116020,"2.50","2.50","","",1,"",2026-04-05 07:50:26.311+00,2026-03-12 11:48:10.21+00,"","[{""colourCode"": ""#000"", ""colourName"": ""BLACK""}, {""colourCode"": ""#f31212"", ""colourName"": ""RED""}, {""colourCode"": ""#064393"", ""colourName"": ""BLUE""}, {""colourCode"": ""#079c0a"", ""colourName"": ""GREEN""}, {""colourCode"": ""#fbf4f4"", ""colourName"": ""WHITE""}]","0.00","0.00",280,281
5,1,vehicle,2,{https://dn9ubxf6abll.cloudfront.net/uploads/products/2cc184c4-357a-4212-8a37-772c4df25173.png},CHERRY,87116020,"2.50","2.50","","",1,"",2026-04-05 07:51:18.23+00,2026-03-12 11:25:10.774+00,"","[{""colourCode"": ""#000"", ""colourName"": ""BLACK""}, {""colourCode"": ""#f91010"", ""colourName"": ""RED""}, {""colourCode"": ""#134390"", ""colourName"": ""BLUE""}, {""colourCode"": ""#53dc18"", ""colourName"": ""GREEN""}, {""colourCode"": ""#f2eded"", ""colourName"": ""WHITE""}]","0.00","0.00",280,281
4,1,vehicle,2,{https://dn9ubxf6abll.cloudfront.net/uploads/products/ac39cce1-f45d-4b1f-a061-17a2d2a22986.png},VIRAJ,87114020,"2.50","2.50","","",1,"",2026-04-05 07:51:52.195+00,2026-03-12 11:16:50.346+00,"","[{""colourCode"": ""#000"", ""colourName"": ""BLACK""}, {""colourCode"": ""#f21c1c"", ""colourName"": ""RED""}, {""colourCode"": ""#087d0a"", ""colourName"": ""GREEN""}, {""colourCode"": ""#0e2d8b"", ""colourName"": ""BLUE""}, {""colourCode"": ""#f5efef"", ""colourName"": ""WHITE""}]","0.00","0.00",280,281
